||<tablewidth="1160px" tableheight="874px"rowbgcolor="#e0e0e0" rowstyle="FONT-WEIGHT:bold">Feature ||CPUs/Platform ||Notes ||Xen ||KVM ||RHEL6.2 ||SLES11 SP2 ||OVM3.0 ||RHEL6.1 ||RHEL6 ||OVM 2.2 ||SLES11 SP1 ||RHEL 5.4 ||SLES 11 ||RHEL 5.3 ||Sun xVM 1.0 ||OVM 1.2 ||RHEL5.2 ||SLES10 SP2 ||
||'''export 1Gb Page to Guest OS''' ||WSM || ||yes (post 4.0) ||yes ||yes ||yes || || ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||
||'''AVX for guest''' ||SNB ||XSAVE/XRSTOR, and CPUID handling for guests ||Y(4.1.0) ||yes ||yes||yes || ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||
||'''TSC Deadline Timer''' ||SNB ||Hypervisor only. Not clear if Win8 will have support for it. ||yes(4.1.0) ||yes ||no ||yes || ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||
||'''Per-CPU-Vector (interrupts = 256*CPUs)''' || ||Support more interrupts ||yes ||yes ||yes|| ||yes ||yes ||yes ||no ||no ||no ||no ||no ||no ||no ||no ||no ||
||'''APIC full virtualization''' ||IVT ||ucode patch for SNB is available (as of June/2010) ||no ||no ||no ||no || ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||
||'''EPT A/D bit''' ||HSW || ||no ||no ||no ||no || ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||
||'''Shadow VMCS''' ||HSW || ||no ||no ||no ||no || ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||
||'''VT-d ''' || ||DMA Remapping ||yes ||yes ||yes||yes ||yes ||yes ||yes ||no ||yes ||yes ||yes ||no ||no ||no ||no ||yes ||
||'''VT-d''' || ||Interrupt Remapping, Queued Invalidation, ATS, ACS ||yes ||yes ||yes||yes ||yes ||yes ||yes ||partly: no ATS, ACS, RHSA (IO-NUMA) ||yes ||yes ||partly: no ATS, ACS, RHSA (IO-NUMA) ||no ||no ||no ||no ||no ||
||'''Guest MSI''' || || ||yes ||yes ||yes||yes ||yes ||yes ||yes ||yes ||yes ||yes ||yes ||no ||no ||no ||no ||no ||
||'''Posted interrupt''' || || ||no ||no ||no ||no || ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||
||'''VT-d 1G super page''' || || ||yes(4.1.0) ||no ||no ||yes ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||
||'''VT-d GFX passthrough''' || ||not tested ||yes (4.0) ||no ||no||N/A || ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||
||'''VMM Coexistence''' || || ||N/A ||yes (2.6.35) || ||no || || ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||
||'''Nested Virtualization''' || || ||yes(4.2.0) ||yes ||no||no || ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||
||'''PM S3''' || || ||yes ||yes ||yes||yes ||yes ||yes ||yes ||yes ||yes ||no ||yes ||no ||no ||no ||no ||yes ||
||'''PM Px/Cx ''' || || ||yes ||yes || ||yes ||yes || ||yes ||yes ||yes ||no ||yes ||no ||no ||no ||no ||no ||
||'''PM Tx''' || || ||yes ||yes ||yes||yes ||yes ||yes ||yes ||yes ||yes ||no ||no ||no ||no ||no ||no ||no ||
||'''Guest S3''' || || ||yes ||no ?? ||yes||no ||yes ||yes ||yes ||yes ||yes ||no ||yes ||no ||no ||no ||no ||no ||
||'''VMDq zero-copy network''' || ||Thought we did some patches, but they haven't been accepted yet. ||no ||no ||no ||no || ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||
||'''SR-IOV ''' || || ||yes ||yes ||yes||yes ||yes ||yes ||yes ||yes ||yes ||yes ||no ||no ||no ||no ||no ||no ||
||'''TXT ''' || || ||yes ||yes ||yes||yes || || ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||
||'''Linux PV ''' || ||PV driver for VBD and VNIF ||yes ||yes ||yes||yes ||yes ||yes ||yes ||yes ||yes ||yes ||yes ||yes ||yes ||yes ||yes ||yes ||
||'''Windows PV''' || ||PV driver for VBD and VNIF ||yes (James Harper) ||yes ||yes||yes ||yes ||yes ||yes ||yes ||yes ||yes ||yes ||yes ||yes ||yes ||yes ||yes ||
||'''EPT 1G Super Page''' ||WSM || ||yes(4.1.0) ||yes ||yes||yes || ||yes ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||
||'''SMEP''' ||IVB || ||yes(4.2.0) ||yes ||no||yes || ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||
||'''CPUID faulting''' ||IVB ||not tested ||yes(4.2.0) ||N/A ||N/A || || ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||
||'''F16 data conversion instruction''' ||IVB || ||yes(4.1.0) ||yes ||yes||yes || ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||
||'''RDRAND''' ||IVB || ||yes(4.2.0) ||yes ||yes||yes || ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||
||'''ERMS(Enhanced Rep Mov/Str)''' ||IVB || ||yes(4.2.0) ||yes ||yes ||yes || ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||
||'''User FS/GS Base Rd/Wr''' ||IVB || ||yes(4.2.0) ||yes ||yes||yes || ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||
||'''ERST/APEI''' ||WSM-EX ||not tested ||yes(4.0.0) ||yes ||yes||yes ||no ||yes ||no ||no ||yes ||no ||no ||no ||no ||no ||no ||no ||
||Feature ||CPUs/Platform ||Notes ||Xen ||KVM ||RHEL6.2 ||SLES11 SP2 ||OVM3.0 ||RHEL6.1 ||RHEL6 ||OVM 2.2 ||SLES11 SP1 ||RHEL 5.4 ||SLES 11 ||RHEL 5.3 ||Sun xVM 1.0 ||OVM 1.2 ||RHEL5.2 ||SLES10 SP2 ||
